iter	Passed	Remaining
352	1391	2549
353	1395	2545
354	1398	2541
355	1402	2537
356	1406	2533
357	1410	2529
358	1414	2525
359	1418	2522
360	1423	2519
361	1427	2515
362	1431	2511
363	1435	2508
364	1439	2504
365	1443	2500
366	1447	2496
367	1451	2492
368	1455	2488
369	1459	2484
370	1463	2480
371	1467	2476
372	1471	2473
373	1475	2470
374	1480	2467
375	1484	2463
376	1488	2459
377	1492	2455
378	1496	2451
379	1500	2447
380	1503	2443
381	1507	2439
382	1511	2434
383	1515	2430
384	1518	2426
385	1522	2421
386	1526	2417
387	1529	2413
388	1534	2409
389	1538	2405
390	1542	2401
391	1546	2398
392	1549	2393
393	1553	2389
394	1557	2385
395	1561	2381
396	1565	2377
397	1568	2372
398	1572	2369
399	1576	2365
400	1580	2361
401	1584	2357
402	1588	2353
403	1592	2349
404	1596	2345
405	1600	2341
406	1604	2337
407	1608	2333
408	1611	2329
409	1615	2325
410	1619	2321
411	1623	2317
412	1627	2312
413	1631	2308
414	1634	2304
415	1638	2300
416	1642	2296
417	1646	2292
418	1650	2288
419	1656	2287
420	1661	2284
421	1665	2280
422	1684	2297
423	1688	2293
424	1691	2289
425	1695	2284
426	1699	2280
427	1703	2276
428	1707	2272
429	1711	2268
430	1714	2263
431	1718	2260
432	1722	2255
433	1726	2251
434	1730	2247
435	1734	2243
436	1738	2239
437	1742	2235
438	1746	2231
439	1757	2236
440	1763	2235
441	1769	2233
442	1774	2231
443	1779	2228
444	1784	2225
445	1789	2222
446	1795	2221
447	1802	2220
448	1810	2221
449	1819	2223
450	1827	2224
451	1839	2229
452	1845	2228
453	1854	2230
454	1867	2236
455	1880	2242
456	1894	2251
457	1904	2254
458	1916	2258
459	1926	2261
460	1936	2264
461	1944	2264
462	1953	2265
463	1960	2264
464	1967	2264
465	1975	2263
466	1984	2264
467	1993	2266
468	2002	2267
469	2010	2267
470	2018	2266
471	2025	2266
472	2033	2265
473	2039	2263
474	2045	2261
475	2051	2257
476	2058	2256
477	2063	2253
478	2068	2249
479	2073	2245
480	2077	2241
481	2081	2237
482	2086	2233
483	2091	2229
484	2095	2225
485	2099	2220
486	2104	2216
487	2108	2212
488	2112	2207
489	2116	2203
490	2120	2198
491	2125	2194
492	2129	2189
493	2133	2185
494	2137	2181
495	2142	2176
496	2146	2172
497	2150	2167
498	2154	2163
499	2159	2159
500	2163	2154
501	2167	2150
502	2171	2146
503	2176	2141
504	2180	2137
505	2184	2132
506	2188	2128
507	2193	2123
508	2197	2119
509	2201	2115
510	2206	2111
511	2210	2106
512	2214	2102
513	2219	2098
514	2223	2094
515	2228	2089
516	2232	2085
517	2236	2081
518	2241	2077
519	2245	2073
520	2250	2068
521	2254	2064
522	2259	2060
523	2264	2056
524	2268	2052
525	2273	2048
526	2277	2044
527	2282	2039
528	2286	2035
529	2291	2031
530	2295	2027
531	2300	2023
532	2304	2019
533	2309	2015
534	2313	2011
535	2319	2007
536	2324	2003
537	2329	2000
538	2334	1996
539	2339	1993
540	2344	1989
541	2349	1985
542	2354	1981
543	2358	1977
544	2363	1973
545	2368	1969
546	2372	1965
547	2377	1961
548	2382	1956
549	2386	1952
550	2392	1949
551	2397	1945
552	2401	1941
553	2406	1937
554	2412	1933
555	2416	1929
556	2421	1925
557	2425	1921
558	2430	1917
559	2434	1913
560	2439	1909
561	2444	1904
562	2448	1900
563	2452	1896
564	2457	1891
565	2461	1887
566	2465	1883
567	2470	1878
568	2474	1874
569	2479	1870
570	2484	1866
571	2488	1862
572	2492	1857
573	2497	1853
574	2501	1848
575	2505	1844
576	2510	1840
577	2514	1835
578	2518	1831
579	2522	1826
580	2527	1822
581	2531	1818
582	2536	1814
583	2540	1809
584	2545	1805
585	2549	1801
586	2554	1797
587	2558	1792
588	2562	1788
589	2567	1783
590	2571	1779
591	2575	1775
592	2580	1770
593	2584	1766
594	2588	1761
595	2592	1757
596	2597	1753
597	2601	1748
598	2605	1744
599	2609	1739
600	2614	1735
601	2618	1731
602	2622	1726
603	2627	1722
604	2631	1718
605	2635	1713
606	2640	1709
607	2644	1705
608	2649	1700
609	2653	1696
610	2658	1692
611	2662	1687
612	2666	1683
613	2670	1679
614	2675	1674
615	2679	1670
616	2684	1666
617	2688	1661
618	2692	1657
619	2697	1653
620	2701	1648
621	2705	1644
622	2710	1640
623	2714	1635
624	2720	1632
625	2724	1627
626	2729	1623
627	2733	1619
628	2737	1614
629	2742	1610
630	2746	1606
631	2751	1602
632	2755	1597
633	2760	1593
634	2764	1589
635	2768	1584
636	2773	1580
637	2777	1575
638	2781	1571
639	2786	1567
640	2791	1563
641	2795	1558
642	2800	1554
643	2804	1550
644	2808	1545
645	2812	1541
646	2817	1537
647	2821	1532
648	2825	1528
649	2830	1524
650	2834	1519
651	2839	1515
652	2843	1510
653	2847	1506
654	2851	1502
655	2856	1497
656	2860	1493
657	2864	1489
658	2869	1484
659	2873	1480
660	2878	1476
661	2882	1471
662	2887	1467
663	2891	1463
664	2895	1458
665	2899	1454
666	2904	1449
667	2908	1445
668	2912	1441
669	2917	1436
670	2921	1432
671	2926	1428
672	2930	1423
673	2935	1419
674	2939	1415
675	2944	1411
676	2948	1406
677	2952	1402
678	2957	1397
679	2961	1393
680	2965	1389
681	2970	1384
682	2974	1380
683	2978	1376
684	2983	1371
685	2987	1367
686	2996	1365
687	3002	1361
688	3008	1357
689	3014	1354
690	3020	1350
691	3026	1347
692	3032	1343
693	3037	1339
694	3044	1335
695	3048	1331
696	3052	1327
697	3057	1322
698	3061	1318
699	3066	1314
700	3070	1309
701	3075	1305
702	3079	1301
703	3083	1296
704	3088	1292
705	3093	1288
706	3097	1283
707	3102	1279
708	3106	1275
709	3110	1270
710	3115	1266
711	3119	1261
712	3124	1257
713	3128	1253
714	3132	1248
715	3137	1244
716	3141	1240
717	3146	1235
718	3150	1231
719	3154	1226
720	3159	1222
721	3163	1218
722	3168	1213
723	3172	1209
724	3176	1204
725	3180	1200
726	3185	1196
727	3189	1191
728	3194	1187
729	3198	1183
730	3202	1178
731	3207	1174
732	3211	1169
733	3215	1165
734	3220	1160
735	3224	1156
736	3228	1152
737	3233	1147
738	3237	1143
739	3242	1139
740	3246	1134
741	3251	1130
742	3255	1126
743	3259	1121
744	3264	1117
745	3268	1112
746	3273	1108
747	3277	1104
748	3281	1099
749	3286	1095
750	3290	1091
751	3294	1086
752	3298	1082
753	3303	1077
754	3308	1073
755	3312	1069
756	3316	1064
757	3321	1060
758	3325	1055
759	3329	1051
760	3334	1047
761	3338	1042
762	3342	1038
763	3347	1033
764	3351	1029
765	3355	1025
766	3359	1020
767	3364	1016
768	3369	1012
769	3373	1007
770	3378	1003
771	3382	998
772	3386	994
773	3391	990
774	3395	985
775	3399	981
776	3404	977
777	3408	972
778	3413	968
779	3417	963
780	3421	959
781	3426	955
782	3430	950
783	3434	946
784	3439	941
785	3443	937
786	3447	933
787	3451	928
788	3456	924
789	3460	919
790	3464	915
791	3468	911
792	3473	906
793	3477	902
794	3481	897
795	3485	893
796	3490	888
797	3494	884
798	3498	880
799	3502	875
800	3506	871
801	3511	866
802	3515	862
803	3519	858
804	3524	853
805	3528	849
806	3532	844
807	3537	840
808	3541	836
809	3546	831
810	3551	827
811	3555	823
812	3560	818
813	3564	814
814	3568	810
815	3573	805
816	3577	801
817	3582	797
818	3586	792
819	3591	788
820	3595	783
821	3599	779
822	3604	775
823	3608	770
824	3613	766
825	3617	762
826	3621	757
827	3626	753
828	3630	748
829	3634	744
830	3638	740
831	3643	735
832	3647	731
833	3652	726
834	3656	722
835	3661	718
836	3665	713
837	3669	709
838	3673	704
839	3678	700
840	3682	696
841	3686	691
842	3691	687
843	3696	683
844	3700	678
845	3705	674
846	3709	670
847	3713	665
848	3718	661
849	3722	656
850	3727	652
851	3732	648
852	3736	643
853	3740	639
854	3744	635
855	3749	630
856	3753	626
857	3757	621
858	3762	617
859	3766	613
860	3770	608
861	3775	604
862	3779	599
863	3783	595
864	3787	591
865	3792	586
866	3796	582
867	3800	577
868	3804	573
869	3809	569
870	3813	564
871	3817	560
872	3822	556
873	3826	551
874	3831	547
875	3835	542
876	3839	538
877	3843	534
878	3848	529
879	3852	525
880	3856	520
881	3860	516
882	3865	512
883	3869	507
884	3873	503
885	3878	498
886	3882	494
887	3886	490
888	3891	485
889	3895	481
890	3899	477
891	3904	472
892	3908	468
893	3912	463
894	3916	459
895	3920	455
896	3925	450
897	3929	446
898	3934	442
899	3939	437
900	3944	433
901	3948	429
902	3953	424
903	3957	420
904	3962	415
905	3966	411
906	3970	407
907	3975	402
908	3979	398
909	3983	394
910	3988	389
911	3992	385
912	3997	380
913	4001	376
914	4006	372
915	4010	367
916	4014	363
917	4019	359
918	4023	354
919	4042	351
920	4046	347
921	4051	342
922	4055	338
923	4059	333
924	4064	329
925	4069	325
926	4073	320
927	4078	316
928	4082	312
929	4087	307
930	4091	303
931	4095	298
932	4100	294
933	4105	290
934	4109	285
935	4113	281
936	4118	276
937	4122	272
938	4126	268
939	4131	263
940	4136	259
941	4140	254
942	4144	250
943	4149	246
944	4153	241
945	4157	237
946	4162	232
947	4167	228
948	4171	224
949	4177	219
950	4181	215
951	4186	211
952	4190	206
953	4195	202
954	4199	197
955	4204	193
956	4209	189
957	4213	184
958	4218	180
959	4222	175
960	4227	171
961	4232	167
962	4237	162
963	4241	158
964	4246	154
965	4250	149
966	4255	145
967	4259	140
968	4264	136
969	4268	132
970	4273	127
971	4277	123
972	4282	118
973	4286	114
974	4291	110
975	4295	105
976	4300	101
977	4304	96
978	4309	92
979	4313	88
980	4317	83
981	4322	79
982	4326	74
983	4330	70
984	4334	66
985	4338	61
986	4343	57
987	4347	52
988	4351	48
989	4356	44
990	4360	39
991	4364	35
992	4369	30
993	4373	26
994	4378	22
995	4383	17
996	4387	13
997	4391	8
998	4395	4
999	4399	0
