iter	Logloss
0	0.6879398172
1	0.6832590405
2	0.6781167526
3	0.6731642314
4	0.6683490708
5	0.6641626847
6	0.6593424474
7	0.6543924931
8	0.6487561342
9	0.6438515442
10	0.6385615962
11	0.6349801022
12	0.6311492972
13	0.6258481617
14	0.6217538429
15	0.6177888829
16	0.6150082269
17	0.6114717459
18	0.6080550208
19	0.6046490279
20	0.6010925915
21	0.5984924674
22	0.5952026011
23	0.5928473424
24	0.5893607838
25	0.586259974
26	0.5834803723
27	0.5807381008
28	0.5784003978
29	0.5753857979
30	0.572676578
31	0.5693701978
32	0.5664994296
33	0.5644056048
34	0.5612206018
35	0.558625138
36	0.5566339775
37	0.5546146871
38	0.5524241492
39	0.5499825585
40	0.5475433077
41	0.5451757797
42	0.5438529657
43	0.5413957339
44	0.5391859113
45	0.5372191199
46	0.5351755183
47	0.533203038
48	0.5310019701
49	0.528803662
50	0.5267468603
51	0.5252719274
52	0.5234614466
53	0.5217876156
54	0.5200473154
55	0.5177783395
56	0.5160406905
57	0.5138144248
58	0.5123107772
59	0.5107031439
60	0.509412167
61	0.5077801024
62	0.5063356774
63	0.5050470899
64	0.5037215612
65	0.502553795
66	0.5008491433
67	0.4988250304
68	0.4969184603
69	0.4954932086
70	0.4936288388
71	0.4923429923
72	0.4908035338
73	0.4893251776
74	0.4878710237
75	0.4863950153
76	0.4848028202
77	0.483417091
78	0.4818388969
79	0.4803388361
80	0.4785718114
81	0.477612741
82	0.4762808274
83	0.4747879055
84	0.4738523616
85	0.4726538911
86	0.4712203624
87	0.4700620075
88	0.4689454242
89	0.467692117
90	0.4666533762
91	0.4650810681
92	0.4639762203
93	0.462698837
94	0.4617077587
95	0.4607165064
96	0.4595178657
97	0.4586188568
98	0.457634229
99	0.4566395531
100	0.4556587779
101	0.4545191266
102	0.4536003226
103	0.4527451821
104	0.4513749209
105	0.4505866937
106	0.4498857915
107	0.4491048476
108	0.4479933461
109	0.4467915396
110	0.4457377561
111	0.4450065832
112	0.4437931951
113	0.4425894595
114	0.4413821651
115	0.4404439237
116	0.4398916688
117	0.4388327632
118	0.4379736153
119	0.4370551852
120	0.4361290388
121	0.4351741474
122	0.4344489126
123	0.4332735389
124	0.4325080788
125	0.4315694682
126	0.4307059714
127	0.4299725145
128	0.4292261101
129	0.4283951064
130	0.42756842
131	0.4266419725
132	0.4258245251
133	0.4248541339
134	0.4241335009
135	0.423226071
136	0.4223396838
137	0.4215411079
138	0.4206611259
139	0.4199649168
140	0.4191755464
141	0.4183069388
142	0.4174995956
143	0.4167346359
144	0.4159202487
145	0.4152156575
146	0.4144517664
147	0.4135624379
148	0.412646578
149	0.4120124697
150	0.4112557982
151	0.4106164094
152	0.4098797476
153	0.40907365
154	0.4082662329
155	0.4076554133
156	0.4064066211
157	0.4055210817
158	0.4046933768
159	0.4037521886
160	0.4032066308
161	0.4026835259
162	0.4019562385
163	0.400808942
164	0.3997501862
165	0.3988477073
166	0.3982225979
167	0.3975824764
168	0.3969096661
169	0.3961168121
170	0.395666275
171	0.3949803466
172	0.3942123156
173	0.3932567644
174	0.3926015513
175	0.3919714008
176	0.3913147217
177	0.390717938
178	0.3899898732
179	0.3893319022
180	0.3885566665
181	0.3880499785
182	0.3873074349
183	0.3869577658
184	0.3863595784
185	0.3856944731
186	0.385030626
187	0.3842469948
188	0.3837572106
189	0.3831620822
190	0.3827337947
191	0.3820842616
192	0.3815359596
193	0.381049922
194	0.3801947248
195	0.3796595899
196	0.3788795654
197	0.3783661204
198	0.377774172
199	0.3772281316
200	0.3765315386
201	0.3760300888
202	0.375179531
203	0.3745870195
204	0.3739258658
205	0.3732890516
206	0.3726006794
207	0.3719813828
208	0.371367979
209	0.3708301137
210	0.3701586781
211	0.3695218678
212	0.3689614694
213	0.3684170438
214	0.3680413907
215	0.3674277373
216	0.3669963073
217	0.3663860839
218	0.3659266652
219	0.3651475487
220	0.3646844432
221	0.3640266481
222	0.3633252276
223	0.3627486685
224	0.3622656124
225	0.3615619765
226	0.361111923
227	0.3605006025
228	0.3599934028
229	0.3593973461
230	0.3587728293
231	0.3582113945
232	0.3574401247
233	0.3568726607
234	0.3562088482
235	0.3556689356
236	0.3551437832
237	0.354659536
238	0.3538271703
239	0.3532123491
240	0.3527655407
241	0.3523522206
242	0.351897826
243	0.351413567
244	0.3508085961
245	0.3503708807
246	0.3496349131
247	0.3489564146
248	0.3484263607
249	0.34779375
250	0.3472598517
251	0.3470239777
252	0.3462772361
253	0.3458106043
254	0.3453244542
255	0.3448727876
256	0.3445609605
257	0.3440008646
258	0.3433836682
259	0.3429179293
260	0.3424456683
261	0.3419168617
262	0.3413875892
263	0.3405104595
264	0.3401020881
265	0.3395961755
266	0.3391319881
267	0.3385952289
268	0.3383068649
