"epoch,training mse,validation mse"
1,0.7491506934165955,0.7447382211685181
2,0.7322997450828552,0.7448282241821289
3,0.72151780128479,0.734456479549408
4,0.711354672908783,0.7212464213371277
5,0.6979453563690186,0.7166666388511658
6,0.6809670925140381,0.7191694974899292
7,0.6657201647758484,0.7122660875320435
8,0.6470420956611633,0.724461019039154
