"epoch,training mse,validation mse"
1,0.8571698665618896,0.7909846901893616
2,0.839025616645813,0.7873755097389221
3,0.8233993649482727,0.7811261415481567
4,0.8035674095153809,0.7631105184555054
5,0.7786049842834473,0.7443744540214539
6,0.7534753084182739,0.7564444541931152
